id;title;description;longitud;latitud;Name of Photo;URL Institution;URL_Photo;markdown
1;UNESCO Regional Office for Southern Africa (UNESCO ROSA);Chimanimani Project Region;31,077537;-17,8905989;Chimanimani_OWASA project region;;Photos//1 Chimanimani District_OWASA project region.jpg;C:\\Users\\dakno\\OneDrive\\Escritorio\\ITT_Job\\OWASA\\Monitor\\OWASA_Leaflet_Stakeholders\\data\\markdowns\\Chimanimani_District.md
2;Chikukwa Ecological Land Use Community Trust (CELUCT Trust);OWASA team is visiting CELUCT;32,939817;-19,711948;CELUCT Chikukwa Permaculture Training Centre  OWASA team is visiting CELUCT, April 2022 ;https://www.google.com/maps/place/Chikukwa+Ecological+Land+Use+Community+Trust/@-19.6164664,32.2833079,10.5z/data=!4m12!1m6!3m5!1s0x0:0xb1e59f1806c595a3!2sChikukwa+Ecological+Land+Use+Community+Trust!8m2!3d-19.7134651!4d32.9451442!3m4!1s0x0:0xb1e59f1806c595a3!8m2!3d-19.7134651!4d32.9451442 ;Photos//2 OWASA team is visiting CELUCT_ April 2022.jpg;C:\\Users\\dakno\\OneDrive\\Escritorio\\ITT_Job\\OWASA\\Monitor\\OWASA_Leaflet_Stakeholders\\data\\markdowns\\Chikukwa.md
3;Participatory Organic Research & Extension Trust (PORET Trust);OWASA team visiting PORET;32,32148;-19,3714;OWASA team is visiting PORET, April 2022;https://www.poret.org/contact;Photos//3 OWASA team is visiting PORET_April 2022.jpg;
4;Towards Sustainable Use of Resources Organisation (TSURO Trust);Visit TSURO Trust;32,869644;-19,801907;Visit by TSURO Trust April 2022;http://www.tsurotrust.org/?fbclid=IwAR0Jk8cDUfP5Rln-JYB5zocU28jSvwtfWWr1KWXItFaVAdOcvCmBc3brQvo;Photos//4 Visit by TSURO Trust April 2022.jpg;
5;University of Zimbabwe, Department of Construction & Civil Engineering;OWASA Workshop University of Zimbabwe;31,056449;-17,790081;OWASA Workshop_University of Zimbabwe_April 2022;;Photos//5 OWASA Workshop_University of Zimbabwe_April 2022.jpg;
6;Zimbabwe National Water Authority, (ZINWA);;31,076614;-17,78601582;;;;
7;Waterberg Biosphere Reserve;Stakeholder Workshop in Waterberg;28,122741;-24,297348;OWASA Stakeholder Workshop in Waterberg, April 2022;;;
8;Waterberg District Municipality;Stakeholder Workshop in Waterberg;28,406708;-24,702816;OWASA Stakeholder Workshop in Waterberg, April 2022;;Photos//6 OWASA Stakeholderworkshop Waterberg.jpeg;
9;The Department of Water and Sanitation;Stakeholder Workshop in Waterberg;28,187183;-25,749471;Waterberg April 2022;;;
10;University of Limpopo, Department Water and Sanitation ;Stakeholder Workshop in Waterberg;29,711519;-23,883215;OWASA Stakeholder Workshop in Waterberg, April 2022;;;
11;Institute for Technology and Resources Management in the Tropics and Subtropics (ITT), TH Köln-University of Applied Sciences;;6,988472;50,933412;;;;
12;Institute of Applied Geosciences, Technical University Darmstadt;;8,681331;49,862222;;;;
